keys,ru,en
SELL_ROW_LOST,потеряно,lost
SELL_ROW_PIECES,%s — осколки,%s shards
SELL_HEADER,ПРОДАЖА · день %d,SALES · day %d
SELL_GROSS,Итого за товар: %d,Goods total: %d
SELL_TIME,В пути %d с,On the road: %d s
SELL_TIME_LATE,В пути %d с · оплата %d%%,On the road: %d s · payout %d%%
SELL_TOTAL,Выручка: %d,Revenue: %d
SELL_MONEY,Деньги: %d · на складе: %d,Money: %d · in stock: %d
SELL_EMPTY,Не довезли ничего,Nothing made it
SELL_NEXT_DAY,Следующий день,Next day
QUIRK_LEVITATION,Левитация,Levitation
QUIRK_LEVITATION_HINT,Почти невесома: подскакивает на кочках и норовит выпрыгнуть из кузова.,Nearly weightless — it bounces on every bump and tries to leap out of the bed.
ITEM_VASE,Ваза,Vase
ITEM_CHEST,Ларец,Casket
ITEM_CHALICE,Кубок,Chalice
ITEM_TOTEM,Тотем огненного бога,Totem of the fire god
QUIRK_EXPLOSION,Взрывоопасное,Explosive
QUIRK_EXPLOSION_HINT,"Разбившись, расшвыривает всё вокруг — соседям по кузову достаётся первым.",When it breaks it hurls everything aside — its neighbours in the bed get it first.
ITEM_AMPHORA,Большая амфора,Great amphora
ITEM_FLASK,Флакон,Flask
INTRO_TITLE,Лавка старого Вельда,Old Veld's shop
INTRO_P1,"Мир совсем недавно пережил технологическую революцию. Магия, которой и так немного осталось, отошла на второй план и стала достоянием богатых и сильных мира сего. Самолёт оказался дешевле летающего ковра, а мотор — стабильнее чар. Боевые маги теперь не решающая сила на поле боя, а такая же поддержка, как артиллерия или авиация. Да что ходить далеко — чайник включить быстрее и проще, чем устраивать ритуал огня.","The world has only just been through its industrial revolution. Magic, of which there was never much left anyway, slipped into second place and became the property of the rich and the powerful. The aeroplane turned out cheaper than the flying carpet, and the engine steadier than a spell. Battle mages are no longer the deciding force in a war, just support like artillery or air cover. And why look that far — boiling a kettle is quicker and simpler than staging a fire ritual."
INTRO_P2,"Магия теперь — признак статуса. Ну и некоторые консервативные личности до сих пор больше доверяют зачарованному замку, чем механическому.","Magic is a status symbol these days. That, and certain conservative sorts still trust an enchanted lock over a mechanical one."
INTRO_P3,"Нашлись и те, кто сумел поживиться на этой ситуации. Старый Вельд, твой наставник, худо-бедно вёл своё дело, перевозя и продавая артефакты славных времён, когда магия была могущественна. Но он уже стар и хочет передать дело кому-то способному.","And there were those who found a way to profit from all this. Old Veld, your mentor, has scraped a living out of hauling and selling artefacts from the glorious days when magic was mighty. But he is old now, and he wants to hand the business to someone capable."
INTRO_P4,"— Три тысячи крон, и лавка твоя, Бракк. Закупайся подешевле, продавай подороже — таков наш бизнес.","— Three thousand crowns, and the shop is yours, Brakk. Buy low, sell high — that is the whole business."
INTRO_P5,"— Так что бери наш старый грузовичок, скупай что по карману и вези в лавку. Продажу беру на себя. Дороги в наше время строить так и не научились, так что будь аккуратнее. Кто знает, сколько ещё проживут чары в артефактах — тысячи лет или до первой кочки.","— So take our old truck, buy whatever you can afford and haul it back to the shop. The selling I will handle. Nobody ever did learn to build a decent road around here, so go careful. Who knows how long the magic in those artefacts will hold — another thousand years, or until the first pothole."
INTRO_P6,"И вот ты, молодой фавн по имени Бракк, берёшь старый грузовичок и отправляешься в путь...","And so you, a young faun by the name of Brakk, take the old truck and set out on the road..."
INTRO_CONTINUE,В путь,Hit the road
VICTORY_TITLE,Конец одной дороги — начало новой,The end of one road is the start of another
